Cidade,area,quartos,banheiro,estacionamento,animais,Valor do Aluguel,Iptu,Seguranca Incendio,total
Rio de Janeiro,73,2,1,1,acept,1100,0,15,1115
Porto Alegre,45,1,1,1,acept,1205,72,18,1295
Sao Paulo,45,2,2,0,not acept,1650,84,25,1759
Sao Paulo,255,4,4,0,acept,2500,1484,32,4016
Belo Horizonte,217,4,3,4,acept,6000,1177,80,7257
Sao Paulo,70,1,1,0,acept,1870,0,24,1894
Sao Paulo,25,1,1,0,not acept,885,0,12,897
Porto Alegre,110,3,3,0,acept,3250,75,48,3373
Sao Paulo,80,2,2,1,acept,10000,109,127,10236
Sao Paulo,260,3,5,0,acept,9000,634,136,9770
Sao Paulo,50,2,2,1,acept,2700,82,35,2817
Campinas,60,2,1,1,not acept,815,20,6,841
Sao Paulo,400,3,6,6,acept,6500,375,98,6973
Sao Paulo,113,2,1,1,acept,3000,50,39,3089
Sao Paulo,400,4,4,6,acept,8000,1750,102,9852
Porto Alegre,64,2,2,2,acept,2250,50,33,2333
Sao Paulo,82,2,1,2,acept,3100,333,40,3473
Sao Paulo,65,2,1,3,acept,2000,217,26,2243
Porto Alegre,128,4,3,2,acept,4900,409,88,5397
Sao Paulo,38,1,1,0,not acept,950,0,13,963
Campinas,175,3,2,0,not acept,2000,0,31,2031
Sao Paulo,107,3,3,2,acept,4500,417,58,4975
Rio de Janeiro,257,4,3,2,acept,3800,709,49,4558
Sao Paulo,35,1,1,1,not acept,3250,30,42,3322
Sao Paulo,463,4,7,6,acept,12000,1264,181,13445
Rio de Janeiro,40,2,1,0,acept,920,55,12,987
Belo Horizonte,297,4,2,3,acept,1870,209,15,2094
Sao Paulo,137,3,3,1,acept,5500,303,70,5873
Rio de Janeiro,35,1,1,0,not acept,1200,80,16,1296
Rio de Janeiro,128,3,3,1,acept,3500,242,46,3788
Belo Horizonte,59,2,1,1,acept,1250,70,17,1337
Rio de Janeiro,400,4,4,2,acept,11480,1357,175,13012
Rio de Janeiro,100,3,2,1,not acept,4500,125,58,4683
Rio de Janeiro,50,1,1,0,acept,2200,85,29,2314
Porto Alegre,80,2,2,1,acept,1900,120,28,2048
Belo Horizonte,68,2,2,2,acept,1650,154,22,1826
Sao Paulo,32,1,1,1,acept,2000,416,26,2442
Rio de Janeiro,161,3,3,3,acept,4500,640,58,5198
Sao Paulo,85,2,2,0,acept,1700,0,26,1726
Sao Paulo,100,2,2,0,acept,2500,274,38,2812
Sao Paulo,136,3,4,3,acept,5000,117,64,5181
Sao Paulo,362,4,5,2,acept,7000,834,106,7940
Sao Paulo,276,3,3,4,acept,6500,1650,83,8233
Rio de Janeiro,22,1,1,0,not acept,1322,59,16,1397
Porto Alegre,60,2,1,0,acept,980,42,15,1037
Sao Paulo,500,4,7,8,acept,9250,1167,140,10557
Porto Alegre,65,1,1,1,acept,980,38,15,1033
Sao Paulo,56,2,1,1,acept,2600,0,33,2633
Sao Paulo,35,1,1,1,not acept,2840,10,36,2886
Porto Alegre,98,3,2,2,not acept,2550,100,38,2688
Sao Paulo,45,1,1,0,not acept,950,30,15,995
Porto Alegre,48,2,1,1,acept,800,35,12,847
Campinas,48,1,1,1,acept,1500,42,20,1562
Sao Paulo,114,2,3,1,acept,7010,167,89,7266
Belo Horizonte,197,4,2,3,acept,4250,400,57,4707
Belo Horizonte,200,4,1,2,acept,2500,209,34,2743
Belo Horizonte,110,3,2,0,acept,2500,0,41,2541
Sao Paulo,300,2,4,2,acept,6000,419,91,6510
Belo Horizonte,120,3,1,1,not acept,1900,140,26,2066
Porto Alegre,40,1,1,0,acept,1084,46,16,1146
Sao Paulo,92,2,1,1,not acept,3950,0,51,4001
Sao Paulo,140,3,2,2,acept,5500,583,70,6153
Sao Paulo,244,4,3,4,acept,7000,1000,89,8089
Porto Alegre,59,2,1,0,acept,1000,42,15,1057
Rio de Janeiro,35,1,1,0,acept,791,30,11,832
Sao Paulo,120,3,2,3,acept,2000,292,26,2318
Sao Paulo,248,4,5,4,not acept,9100,250,116,9466
Sao Paulo,63,2,2,1,acept,1690,27,22,1739
Sao Paulo,45,1,1,1,acept,1800,172,23,1995
Sao Paulo,129,2,3,2,acept,2376,334,38,2748
Sao Paulo,300,3,3,8,acept,4675,400,71,5146
Sao Paulo,29,1,1,1,not acept,2200,118,28,2346
Belo Horizonte,100,3,2,1,acept,1300,119,18,1437
Sao Paulo,153,4,3,3,acept,5500,700,70,6270
Campinas,87,2,1,1,acept,1200,52,16,1268
Sao Paulo,75,1,1,2,acept,7000,323,89,7412
Rio de Janeiro,300,4,4,2,acept,12750,1334,165,14249
Porto Alegre,48,1,1,0,acept,700,300,11,1011
Sao Paulo,56,2,2,1,acept,2000,0,26,2026
Campinas,71,2,1,1,acept,977,114,13,1104
Sao Paulo,84,4,1,3,not acept,6000,804,77,6881
Sao Paulo,208,3,4,3,not acept,3490,476,53,4019
Sao Paulo,100,1,2,1,not acept,6000,348,77,6425
Sao Paulo,84,3,2,2,acept,2200,71,28,2299
Sao Paulo,145,4,3,2,acept,4800,500,61,5361
Sao Paulo,300,4,3,2,acept,15000,1040,226,16266
Sao Paulo,65,2,2,1,not acept,6000,250,77,6327
Sao Paulo,27,1,1,0,not acept,836,0,13,849
Rio de Janeiro,102,3,2,1,acept,1350,140,18,1508
Campinas,60,2,1,1,not acept,2848,64,37,2949
Porto Alegre,60,1,1,0,acept,1286,70,19,1375
Rio de Janeiro,50,1,1,0,acept,1620,0,21,1641
Sao Paulo,97,3,1,1,acept,2300,25,30,2355
Sao Paulo,52,1,2,1,acept,5000,210,64,5274
Sao Paulo,373,4,4,3,acept,12750,1417,162,14329
Sao Paulo,157,4,3,2,acept,6608,492,100,7200
Campinas,68,3,1,1,acept,1100,50,14,1164
Sao Paulo,172,4,4,3,acept,8800,890,112,9802
Sao Paulo,64,2,2,2,not acept,3500,0,45,3545
Rio de Janeiro,41,1,1,0,acept,1700,85,22,1807
Rio de Janeiro,106,2,2,1,acept,2850,296,37,3183
Belo Horizonte,150,4,2,3,acept,3300,340,44,3684
Belo Horizonte,135,4,2,2,acept,3500,117,47,3664
Sao Paulo,350,4,6,6,acept,9600,1367,145,11112
Belo Horizonte,360,3,1,3,acept,1500,142,25,1667
Sao Paulo,700,4,7,8,acept,15000,2250,226,17476
Rio de Janeiro,100,2,2,1,acept,8900,380,115,9395
Belo Horizonte,50,1,1,2,acept,1200,0,16,1216
Sao Paulo,55,3,1,1,acept,1300,0,17,1317
Sao Paulo,215,4,4,2,not acept,6000,834,77,6911
Sao Paulo,287,3,2,5,acept,15000,0,226,15226
Sao Paulo,58,2,1,1,acept,1500,43,20,1563
Sao Paulo,90,3,2,2,acept,1600,300,21,1921
Sao Paulo,200,3,3,3,acept,3315,241,50,3606
Sao Paulo,65,3,2,1,acept,2200,5,28,2233
Sao Paulo,820,4,6,6,acept,10000,2500,151,12651
Sao Paulo,102,2,1,0,acept,2000,109,26,2135
Rio de Janeiro,108,3,2,2,acept,4500,442,58,5000
Sao Paulo,86,3,2,2,acept,3100,203,40,3343
Campinas,210,6,3,0,acept,4200,0,64,4264
Belo Horizonte,140,4,2,2,acept,4200,462,56,4718
Sao Paulo,220,4,4,3,acept,4500,1042,58,5600
Campinas,66,2,1,1,acept,1100,34,14,1148
Sao Paulo,389,4,5,6,acept,8500,1834,108,10442
Sao Paulo,80,3,3,1,not acept,1700,25,22,1747
Sao Paulo,78,2,2,1,acept,2200,148,28,2376
Sao Paulo,178,4,2,5,acept,6000,459,91,6550
Sao Paulo,47,2,1,1,acept,1140,64,15,1219
Belo Horizonte,160,4,1,1,acept,2150,0,36,2186
Rio de Janeiro,25,1,1,0,acept,700,0,10,710
Sao Paulo,80,2,2,2,acept,1700,177,26,1903
Sao Paulo,144,3,3,2,acept,5000,109,76,5185
Campinas,400,5,7,4,acept,7900,888,101,8889
Belo Horizonte,100,3,2,1,acept,14500,423,238,15161
Sao Paulo,48,2,1,0,acept,1150,90,15,1255
Sao Paulo,64,3,2,2,acept,1530,34,20,1584
Porto Alegre,50,2,1,0,acept,700,100,11,811
Sao Paulo,50,1,1,1,acept,5156,117,66,5339
Sao Paulo,60,2,2,1,acept,1465,100,19,1584
Rio de Janeiro,180,3,2,1,acept,4800,377,62,5239
Sao Paulo,339,3,3,4,acept,3880,353,59,4292
Campinas,54,1,1,1,acept,2350,127,30,2507
Sao Paulo,420,4,6,4,acept,12000,3167,153,15320
Campinas,350,4,5,4,acept,8000,417,121,8538
Sao Paulo,72,2,2,2,not acept,3060,250,39,3349
Sao Paulo,50,1,1,0,not acept,800,59,13,872
Sao Paulo,450,4,4,4,acept,11000,1417,166,12583
Rio de Janeiro,60,2,1,0,not acept,2900,92,38,3030
Sao Paulo,160,2,3,3,acept,7500,417,113,8030
Belo Horizonte,450,4,4,5,not acept,13500,1130,180,14810
Sao Paulo,265,3,4,3,acept,3490,450,53,3993
Sao Paulo,103,3,1,3,acept,3400,94,44,3538
Sao Paulo,60,2,2,1,acept,1650,0,21,1671
Sao Paulo,136,3,3,3,acept,7900,490,101,8491
Belo Horizonte,45,2,1,1,not acept,750,28,10,788
Sao Paulo,206,3,3,4,acept,12500,758,159,13417
Sao Paulo,229,4,2,3,acept,5500,409,70,5979
Campinas,70,1,2,1,not acept,1000,35,13,1048
Sao Paulo,130,3,2,0,acept,4500,574,58,5132
Campinas,87,2,1,0,acept,1100,82,14,1196
Sao Paulo,200,4,5,3,not acept,6000,250,77,6327
Rio de Janeiro,50,1,1,1,acept,1320,0,18,1338
Sao Paulo,120,3,2,1,acept,3000,495,46,3541
Sao Paulo,40,1,1,0,not acept,1300,111,17,1428
Sao Paulo,54,2,1,1,acept,1800,129,23,1952
Sao Paulo,48,2,1,0,acept,1350,0,18,1368
Sao Paulo,149,3,4,3,acept,6000,550,77,6627
Sao Paulo,45,2,1,1,acept,1500,82,20,1602
Sao Paulo,76,2,2,2,not acept,2650,130,34,2814
Sao Paulo,60,2,1,0,acept,1850,0,24,1874
Sao Paulo,118,3,3,2,not acept,9000,352,115,9467
Sao Paulo,200,2,3,1,not acept,13000,625,165,13790
Sao Paulo,200,2,2,1,acept,5000,0,76,5076
Sao Paulo,138,3,4,2,acept,10000,527,127,10654
Sao Paulo,53,2,1,1,acept,1200,0,16,1216
Porto Alegre,61,1,1,1,acept,3800,104,56,3960
Sao Paulo,135,3,3,2,not acept,2800,641,36,3477
Sao Paulo,50,1,1,0,not acept,750,25,12,787
Sao Paulo,34,1,1,1,not acept,1300,100,17,1417
Sao Paulo,218,3,3,3,not acept,4000,775,51,4826
Sao Paulo,400,3,5,4,acept,10000,1250,127,11377
Belo Horizonte,25,1,1,1,not acept,550,84,8,642
Porto Alegre,360,5,3,3,acept,3500,0,63,3563
Sao Paulo,72,2,1,1,acept,2630,378,34,3042
Sao Paulo,45,2,1,1,acept,1600,34,21,1655
Belo Horizonte,340,3,5,5,acept,4600,211,76,4887
Sao Paulo,130,3,3,2,acept,3100,130,47,3277
Sao Paulo,72,3,2,2,acept,3000,245,39,3284
Sao Paulo,50,1,1,0,not acept,900,0,14,914
Sao Paulo,100,2,2,0,not acept,4999,50,64,5113
Sao Paulo,270,3,2,4,acept,13000,1250,165,14415
Belo Horizonte,60,2,1,1,acept,1325,0,18,1343
Belo Horizonte,46335,4,8,5,acept,8500,646,114,9260
Belo Horizonte,700,3,3,8,acept,10000,807,164,10971
Sao Paulo,550,4,5,0,acept,8800,0,112,8912
Belo Horizonte,21,1,1,1,not acept,980,0,14,994
Sao Paulo,55,1,2,1,acept,3800,100,49,3949
Sao Paulo,40,1,2,1,not acept,4200,318,54,4572
Belo Horizonte,50,1,1,1,not acept,1500,100,20,1620
Sao Paulo,52,1,1,1,acept,3950,290,51,4291
Sao Paulo,46,2,1,1,acept,1434,9,19,1462
Belo Horizonte,20,1,1,1,acept,1100,0,15,1115
Sao Paulo,50,1,1,0,acept,1050,59,16,1125
Rio de Janeiro,49,1,2,1,acept,2400,133,31,2564
Porto Alegre,440,3,2,3,not acept,10500,84,154,10738
Porto Alegre,59,2,1,1,acept,900,62,14,976
Belo Horizonte,150,4,1,3,acept,2300,0,38,2338
Sao Paulo,100,3,2,0,acept,2020,132,26,2178
Sao Paulo,72,2,2,1,acept,2100,27,27,2154
Sao Paulo,500,7,7,8,not acept,9000,1667,136,10803
Sao Paulo,264,3,5,0,acept,6000,488,91,6579
Sao Paulo,76,2,2,2,acept,5500,299,70,5869
Sao Paulo,16,1,1,0,not acept,870,0,12,882
Sao Paulo,198,3,2,2,acept,3250,334,42,3626
Sao Paulo,190,3,2,1,acept,4000,100,51,4151
Sao Paulo,210,4,4,4,not acept,11500,1480,146,13126
Campinas,233,3,1,1,acept,2700,239,41,2980
Sao Paulo,180,3,2,2,acept,11000,150,166,11316
Belo Horizonte,1020,5,4,6,acept,6520,654,107,7281
Sao Paulo,320,3,3,2,acept,7200,600,109,7909
Sao Paulo,116,3,2,2,acept,3800,518,49,4367
Sao Paulo,128,2,1,1,acept,8500,9,108,8617
Campinas,42,2,1,1,acept,1020,0,13,1033
Sao Paulo,70,2,1,1,acept,3800,45,49,3894
Sao Paulo,320,3,4,4,acept,15000,1659,191,16850
Campinas,77,2,2,1,acept,1200,71,16,1287
Sao Paulo,208,3,3,3,acept,15000,1200,191,16391
Sao Paulo,115,3,3,3,acept,2400,71,37,2508
Porto Alegre,60,2,1,1,acept,1300,25,19,1344
Porto Alegre,50,1,1,0,acept,1045,30,16,1091
Sao Paulo,108,2,4,2,acept,4500,522,58,5080
Sao Paulo,64,2,2,1,not acept,6950,276,89,7315
Sao Paulo,178,3,2,1,acept,3500,130,53,3683
Porto Alegre,53,1,1,0,acept,1480,42,22,1544
Rio de Janeiro,118,3,2,0,acept,1560,210,21,1791
Campinas,65,2,1,1,acept,1250,53,16,1319
Rio de Janeiro,180,3,3,2,acept,7000,475,91,7566
Campinas,348,3,3,3,acept,4850,400,73,5323
Sao Paulo,150,3,3,1,not acept,4500,484,58,5042
Porto Alegre,45,1,1,0,acept,650,28,10,688
Sao Paulo,37,1,1,1,not acept,3300,13,42,3355
Sao Paulo,540,4,4,6,acept,5220,1542,79,6841
Belo Horizonte,521,5,2,3,acept,10000,743,164,10907
Campinas,147,4,3,3,acept,4800,284,61,5145
Rio de Janeiro,130,3,2,1,acept,2610,450,34,3094
Sao Paulo,190,3,2,1,acept,3700,0,56,3756
Rio de Janeiro,28,1,1,0,acept,730,99,10,839
Sao Paulo,160,3,3,3,not acept,5850,528,88,6466
Rio de Janeiro,310,3,2,0,acept,5200,595,68,5863
Sao Paulo,530,4,5,6,not acept,13000,0,196,13196
Sao Paulo,59,2,1,1,acept,1200,0,16,1216
Sao Paulo,800,5,4,8,acept,14200,2250,214,16664
Sao Paulo,77,2,1,0,acept,2050,7,26,2083
Sao Paulo,160,3,2,1,acept,4300,500,55,4855
Sao Paulo,47,1,1,1,acept,1800,0,23,1823
Belo Horizonte,52,2,1,1,acept,1000,0,14,1014
Sao Paulo,60,1,2,1,acept,4000,112,51,4163
Rio de Janeiro,120,3,3,2,acept,3000,500,39,3539
Belo Horizonte,55,2,1,0,not acept,850,50,12,912
Campinas,110,3,3,2,acept,3200,88,49,3337
Porto Alegre,145,3,4,0,acept,2950,75,44,3069
Sao Paulo,88,2,4,2,acept,2300,379,30,2709
Sao Paulo,49,2,1,1,acept,2000,3,26,2029
Sao Paulo,26,1,1,0,acept,3500,80,45,3625
Sao Paulo,36,1,1,0,acept,1600,60,21,1681
Sao Paulo,150,3,2,5,acept,2100,260,32,2392
Sao Paulo,77,1,1,1,not acept,5700,0,73,5773
Campinas,60,1,1,2,acept,1610,50,25,1685
Rio de Janeiro,58,2,2,1,acept,1190,105,16,1311
Sao Paulo,145,4,4,3,acept,4500,584,58,5142
Sao Paulo,408,4,6,3,acept,15000,1667,191,16858
Sao Paulo,50,1,1,0,acept,800,18,13,831
Sao Paulo,85,3,2,2,acept,3300,116,42,3458
Belo Horizonte,210,3,3,3,acept,4200,242,56,4498
Belo Horizonte,100,3,1,2,acept,1646,73,22,1741
Porto Alegre,68,2,1,1,not acept,1900,78,28,2006
Campinas,42,1,1,1,not acept,2000,75,26,2101
Campinas,87,3,1,0,acept,1300,105,17,1422
Sao Paulo,40,1,1,0,acept,950,84,13,1047
Sao Paulo,50,2,1,1,acept,1850,133,24,2007
Porto Alegre,85,2,2,0,acept,2520,113,37,2670
Porto Alegre,55,1,1,1,acept,1910,110,28,2048
Sao Paulo,127,2,2,2,acept,5500,361,70,5931
Sao Paulo,172,3,5,3,acept,5800,607,88,6495
Porto Alegre,75,2,1,2,acept,1200,55,18,1273
Sao Paulo,50,1,1,1,not acept,3000,123,39,3162
Campinas,120,4,2,5,acept,4200,0,64,4264
Sao Paulo,95,3,2,2,acept,3490,167,45,3702
Belo Horizonte,300,5,3,6,acept,5200,334,86,5620
Rio de Janeiro,44,1,1,0,acept,1600,0,21,1621
Porto Alegre,563,3,6,4,acept,15000,1250,220,16470
Rio de Janeiro,65,2,2,0,not acept,1700,84,22,1806
Rio de Janeiro,170,2,2,1,acept,2940,80,38,3058
Belo Horizonte,22,1,1,1,not acept,1500,0,20,1520
Belo Horizonte,410,4,4,4,acept,4900,466,81,5447
Rio de Janeiro,60,2,1,1,acept,1400,41,19,1460
Sao Paulo,47,1,1,0,acept,2700,178,35,2913
Sao Paulo,72,2,2,0,acept,1500,70,20,1590
Belo Horizonte,157,4,3,3,acept,9000,108,120,9228
Sao Paulo,280,3,4,2,acept,7000,584,106,7690
Rio de Janeiro,68,3,2,1,acept,1050,82,14,1146
Campinas,56,1,1,0,not acept,560,17,9,586
Sao Paulo,140,2,4,1,acept,8900,300,113,9313
Campinas,50,2,1,0,not acept,830,55,11,896
Campinas,40,2,1,1,acept,1200,70,16,1286
Sao Paulo,260,3,4,4,acept,12000,0,153,12153
Sao Paulo,700,6,8,8,acept,14000,1020,211,15231
Sao Paulo,130,2,1,0,acept,1900,292,29,2221
Sao Paulo,215,3,2,0,not acept,4000,229,51,4280
Rio de Janeiro,300,4,3,2,acept,4500,796,58,5354
Sao Paulo,250,4,5,4,acept,12000,1667,153,13820
Rio de Janeiro,80,2,2,1,acept,5435,207,71,5713
Porto Alegre,54,2,1,0,acept,1200,41,18,1259
Campinas,57,1,2,1,not acept,650,0,9,659
Sao Paulo,130,3,2,1,not acept,4500,0,58,4558
Sao Paulo,48,1,1,2,not acept,6800,400,87,7287
Porto Alegre,318,4,3,0,acept,19000,384,338,19722
Sao Paulo,77,1,2,1,acept,7740,209,99,8048
Sao Paulo,42,1,1,1,acept,2650,243,34,2927
Rio de Janeiro,74,3,1,0,acept,1600,40,25,1665
Sao Paulo,452,4,6,4,acept,9980,2500,127,12607
Porto Alegre,41,1,2,1,acept,2400,67,36,2503
Sao Paulo,90,2,2,2,acept,1917,275,25,2217
Rio de Janeiro,145,1,3,1,not acept,8000,537,104,8641
Sao Paulo,70,1,2,0,acept,2035,111,26,2172
Sao Paulo,180,3,4,5,acept,3300,266,50,3616
Sao Paulo,68,2,1,0,acept,1300,50,17,1367
Sao Paulo,300,4,4,3,acept,10000,767,151,10918
Sao Paulo,270,3,3,1,acept,6500,23,98,6621
Sao Paulo,63,1,1,1,acept,650,0,9,659
Sao Paulo,140,2,3,1,acept,5000,250,64,5314
Sao Paulo,220,5,4,3,not acept,8000,425,121,8546
Sao Paulo,90,3,2,2,acept,2500,355,32,2887
Sao Paulo,62,2,2,1,not acept,3200,129,41,3370
Sao Paulo,55,1,1,0,not acept,770,0,10,780
Belo Horizonte,170,3,2,3,acept,4000,180,66,4246
Belo Horizonte,75,3,2,1,acept,1100,90,15,1205
Sao Paulo,150,3,4,3,acept,2490,375,32,2897
Porto Alegre,270,4,4,2,acept,7000,200,125,7325
Porto Alegre,55,2,1,0,not acept,1500,27,22,1549
Rio de Janeiro,38,1,1,0,not acept,1050,0,14,1064
Porto Alegre,87,2,2,1,acept,1970,117,29,2116
Belo Horizonte,26,1,1,1,acept,750,67,10,827
Belo Horizonte,384,5,4,6,not acept,5000,435,82,5517
Belo Horizonte,62,2,1,1,acept,1050,84,14,1148
Sao Paulo,70,2,1,1,acept,1750,50,23,1823
Porto Alegre,48,1,1,1,acept,1288,0,19,1307
Sao Paulo,396,4,4,4,acept,10000,750,151,10901
Rio de Janeiro,480,3,4,1,acept,7000,1201,91,8292
Belo Horizonte,230,4,4,3,acept,6300,431,84,6815
Rio de Janeiro,60,1,1,0,acept,2210,84,29,2323
Rio de Janeiro,80,2,2,2,acept,1900,420,25,2345
Rio de Janeiro,150,4,3,3,acept,7500,525,97,8122
Belo Horizonte,85,3,1,0,not acept,1100,150,15,1265
Sao Paulo,25,1,1,0,acept,2200,60,28,2288
Porto Alegre,105,3,3,0,acept,2125,111,32,2268
Sao Paulo,144,4,2,2,acept,4800,667,61,5528
Belo Horizonte,80,3,2,2,acept,2600,164,35,2799
Sao Paulo,100,1,1,0,acept,1530,84,23,1637
Belo Horizonte,649,5,5,6,acept,15000,1065,246,16311
Porto Alegre,55,2,1,1,acept,850,30,13,893
Porto Alegre,68,2,2,1,acept,1800,82,27,1909
Sao Paulo,265,3,3,0,acept,8500,475,128,9103
Sao Paulo,96,2,1,0,acept,4387,3,56,4446
Belo Horizonte,241,5,4,3,acept,5200,310,86,5596
Rio de Janeiro,65,2,1,1,acept,900,88,12,1000
Campinas,71,2,1,1,acept,1130,114,15,1259
Sao Paulo,90,1,1,0,not acept,1550,167,20,1737
Sao Paulo,90,3,2,0,acept,2100,84,27,2211
Campinas,42,1,1,1,acept,1020,42,13,1075
Porto Alegre,109,3,1,1,acept,1400,42,21,1463
Rio de Janeiro,260,4,1,2,acept,15000,1167,194,16361
Sao Paulo,154,3,3,2,acept,2000,0,26,2026
Belo Horizonte,55,1,1,0,not acept,1020,21,17,1058
Sao Paulo,49,2,2,1,acept,2400,55,31,2486
Sao Paulo,56,1,1,0,acept,8000,280,102,8382
Campinas,67,2,1,1,acept,1230,42,16,1288
Sao Paulo,160,4,4,0,acept,3175,787,41,4003
Porto Alegre,118,3,2,1,acept,1800,50,27,1877
Belo Horizonte,47,2,1,1,acept,1480,75,20,1575
Sao Paulo,132,3,4,3,not acept,2980,520,38,3538
Porto Alegre,47,1,1,0,acept,755,27,12,794
Campinas,60,3,2,1,not acept,1700,120,22,1842
Sao Paulo,250,4,5,0,acept,7880,1566,100,9546
Porto Alegre,400,3,4,5,acept,8500,309,152,8961
Rio de Janeiro,28,1,1,0,acept,2200,0,29,2229
Sao Paulo,300,3,4,2,acept,14000,1084,178,15262
Sao Paulo,78,2,1,2,acept,5900,0,75,5975
Sao Paulo,56,2,1,0,acept,1800,41,23,1864
Sao Paulo,110,2,2,0,acept,3360,248,43,3651
Sao Paulo,65,2,2,1,acept,1800,25,23,1848
Belo Horizonte,59,3,1,1,acept,1018,63,14,1095
Sao Paulo,20,1,1,0,acept,1800,130,23,1953
Sao Paulo,65,3,1,1,acept,1800,0,23,1823
Sao Paulo,235,4,4,4,acept,14900,1417,189,16506
Sao Paulo,137,2,3,2,acept,14000,542,178,14720
Belo Horizonte,28,1,1,0,not acept,1100,0,15,1115
Sao Paulo,50,1,1,1,not acept,1500,80,23,1603
Sao Paulo,120,3,1,4,acept,3500,234,53,3787
Sao Paulo,80,2,1,0,not acept,1576,125,24,1725
Rio de Janeiro,82,3,1,0,not acept,2700,50,35,2785
Sao Paulo,160,3,2,1,acept,4700,0,71,4771
Sao Paulo,51,1,1,0,acept,2350,150,30,2530
Sao Paulo,56,2,1,0,acept,1400,0,10,1410
Sao Paulo,170,3,4,0,acept,4000,800,51,4851
Sao Paulo,300,4,5,4,acept,3800,1630,49,5479
Sao Paulo,60,2,1,1,acept,3400,23,44,3467
Rio de Janeiro,50,1,1,1,acept,990,19,13,1022
Sao Paulo,250,5,6,2,acept,9000,717,136,9853
Rio de Janeiro,80,2,2,2,acept,935,100,13,1048
Sao Paulo,20,1,1,0,acept,1800,130,23,1953
Rio de Janeiro,110,2,1,1,not acept,3800,250,49,4099
Belo Horizonte,430,4,5,3,acept,6000,0,99,6099
Belo Horizonte,144,4,3,3,not acept,4500,390,60,4950
Sao Paulo,80,2,1,1,acept,24000,0,305,24305
Campinas,30,1,1,0,acept,580,12,8,600
Sao Paulo,163,2,3,2,acept,8000,470,102,8572
Belo Horizonte,80,2,2,2,acept,2600,113,35,2748
Sao Paulo,300,5,4,7,acept,15000,2292,226,17518
Belo Horizonte,544,4,3,7,acept,3200,250,53,3503
Belo Horizonte,95,3,2,2,not acept,1800,134,24,1958
Porto Alegre,65,2,1,0,acept,1030,24,16,1070
Belo Horizonte,305,4,5,5,acept,14000,2241,187,16428
Belo Horizonte,103,2,2,2,not acept,1200,100,16,1316
Sao Paulo,135,3,2,2,acept,2300,775,30,3105
Sao Paulo,200,3,4,2,acept,7000,677,89,7766
Rio de Janeiro,47,2,2,1,acept,1000,40,13,1053
Rio de Janeiro,35,1,1,0,acept,700,80,10,790
Campinas,44,2,1,1,acept,1000,0,13,1013
Sao Paulo,82,2,1,1,acept,3400,0,44,3444
Sao Paulo,50,1,1,1,not acept,900,21,14,935
Belo Horizonte,360,4,3,3,acept,3300,171,55,3526
Porto Alegre,95,3,2,2,acept,2500,71,37,2608
Sao Paulo,83,2,3,2,acept,3200,735,41,3976
Sao Paulo,60,1,1,1,acept,2100,0,27,2127
Sao Paulo,122,3,2,1,acept,5800,279,74,6153
Sao Paulo,150,3,4,4,acept,7925,651,101,8677
Campinas,450,5,4,8,acept,3460,400,53,3913
Porto Alegre,58,2,1,1,acept,1000,47,15,1062
Sao Paulo,380,4,2,4,acept,4600,700,70,5370
Belo Horizonte,430,4,5,3,acept,8000,528,107,8635
Porto Alegre,280,3,5,2,acept,5280,500,78,5858
Belo Horizonte,580,5,6,5,not acept,15000,1153,246,16399
Porto Alegre,98,2,2,0,acept,1100,38,17,1155
Sao Paulo,40,1,1,1,not acept,1080,65,14,1159
Rio de Janeiro,50,2,1,1,not acept,2300,0,30,2330
Sao Paulo,40,1,1,1,acept,4065,202,52,4319
Rio de Janeiro,75,4,4,1,not acept,4500,0,58,4558
Rio de Janeiro,72,1,1,1,acept,3500,239,46,3785
Sao Paulo,429,5,4,6,acept,12750,2312,192,15254
Sao Paulo,380,4,2,0,acept,8000,0,121,8121
Belo Horizonte,72,3,1,1,not acept,900,86,12,998
Sao Paulo,114,3,3,0,acept,2600,171,40,2811
Sao Paulo,100,3,2,4,acept,3880,255,59,4194
Sao Paulo,120,4,2,2,acept,4000,464,51,4515
Sao Paulo,100,3,3,2,acept,5500,250,70,5820
Porto Alegre,170,2,3,2,acept,6500,292,116,6908
Sao Paulo,62,1,2,1,acept,12000,350,153,12503
Sao Paulo,62,2,2,1,acept,2500,158,32,2690
Sao Paulo,94,2,3,2,not acept,4400,325,56,4781
Rio de Janeiro,144,3,2,1,acept,8200,622,106,8928
Campinas,68,2,1,2,acept,1200,74,16,1290
Porto Alegre,42,1,1,0,not acept,2200,66,33,2299
Porto Alegre,84,3,1,0,acept,1460,44,22,1526
Sao Paulo,165,3,4,4,acept,10000,799,127,10926
Sao Paulo,50,2,1,1,acept,1072,0,14,1086
Porto Alegre,65,2,1,1,not acept,1750,100,26,1876
Campinas,52,1,1,1,not acept,2300,50,30,2380
Sao Paulo,136,3,3,2,acept,3400,115,44,3559
Belo Horizonte,75,2,1,1,not acept,1100,62,15,1177
Sao Paulo,212,3,5,3,acept,7000,1084,89,8173
Sao Paulo,70,2,1,1,acept,1400,52,18,1470
Sao Paulo,57,2,1,1,acept,2300,63,30,2393
Sao Paulo,128,2,3,3,acept,3900,500,50,4450
Sao Paulo,62,2,2,1,not acept,2350,0,30,2380
Sao Paulo,140,3,3,2,acept,3800,200,58,4058
